Country,Status,Week,Date,Amount
Aruba,Suspected,1,"January, 2016",0
Aruba,"Confirmed ",1,"January, 2016",0
Aruba,Suspected,2,"January, 2016",0
Aruba,"Confirmed ",2,"January, 2016",0
Aruba,Suspected,3,"January, 2016",0
Aruba,"Confirmed ",3,"January, 2016",0
Aruba,Suspected,4,"January, 2016",0
Aruba,"Confirmed ",4,"January, 2016",0
Barbados,Suspected,1,"January, 2016",0
Barbados,"Confirmed ",1,"January, 2016",3
Barbados,Suspected,2,"January, 2016",0
Barbados,"Confirmed ",2,"January, 2016",0
Barbados,Suspected,3,"January, 2016",0
Barbados,"Confirmed ",3,"January, 2016",0
Barbados,Suspected,4,"January, 2016",0
Barbados,"Confirmed ",4,"January, 2016",0
Bolivia,Suspected,1,"January, 2016",0
Bolivia,"Confirmed ",1,"January, 2016",0
Bolivia,Suspected,2,"January, 2016",0
Bolivia,"Confirmed ",2,"January, 2016",1
Bolivia,Suspected,3,"January, 2016",0
Bolivia,"Confirmed ",3,"January, 2016",0
Bolivia,Suspected,4,"January, 2016",0
Bolivia,"Confirmed ",4,"January, 2016",0
Bonaire,Suspected,1,"January, 2016",0
Bonaire,"Confirmed ",1,"January, 2016",0
Bonaire,Suspected,2,"January, 2016",0
Bonaire,"Confirmed ",2,"January, 2016",0
Bonaire,Suspected,3,"January, 2016",0
Bonaire,"Confirmed ",3,"January, 2016",0
Bonaire,Suspected,4,"January, 2016",0
Bonaire,"Confirmed ",4,"January, 2016",0
Brazil,Suspected,1,"January, 2016",0
Brazil,"Confirmed ",1,"January, 2016",0
Brazil,Suspected,2,"January, 2016",0
Brazil,"Confirmed ",2,"January, 2016",0
Brazil,Suspected,3,"January, 2016",0
Brazil,"Confirmed ",3,"January, 2016",0
Brazil,Suspected,4,"January, 2016",0
Brazil,"Confirmed ",4,"January, 2016",0
Colombia,Suspected,1,"January, 2016","1,789"
Colombia,"Confirmed ",1,"January, 2016",30
Colombia,Suspected,2,"January, 2016","2,866"
Colombia,"Confirmed ",2,"January, 2016",22
Colombia,Suspected,3,"January, 2016","3,626"
Colombia,"Confirmed ",3,"January, 2016",252
Colombia,Suspected,4,"January, 2016","5,067"
Colombia,"Confirmed ",4,"January, 2016",281
Costa Rica,Suspected,1,"January, 2016",0
Costa Rica,"Confirmed ",1,"January, 2016",0
Costa Rica,Suspected,2,"January, 2016",0
Costa Rica,"Confirmed ",2,"January, 2016",0
Costa Rica,Suspected,3,"January, 2016",0
Costa Rica,"Confirmed ",3,"January, 2016",0
Costa Rica,Suspected,4,"January, 2016",0
Costa Rica,"Confirmed ",4,"January, 2016",1
Curacao,Suspected,1,"January, 2016",0
Curacao,"Confirmed ",1,"January, 2016",0
Curacao,Suspected,2,"January, 2016",0
Curacao,"Confirmed ",2,"January, 2016",0
Curacao,Suspected,3,"January, 2016",0
Curacao,"Confirmed ",3,"January, 2016",0
Curacao,Suspected,4,"January, 2016",0
Curacao,"Confirmed ",4,"January, 2016",1
Dominican Republic,Suspected,1,"January, 2016",0
Dominican Republic,"Confirmed ",1,"January, 2016",0
Dominican Republic,Suspected,2,"January, 2016",0
Dominican Republic,"Confirmed ",2,"January, 2016",0
Dominican Republic,Suspected,3,"January, 2016",27
Dominican Republic,"Confirmed ",3,"January, 2016",10
Dominican Republic,Suspected,4,"January, 2016",77
Dominican Republic,"Confirmed ",4,"January, 2016",0
Ecuador,Suspected,1,"January, 2016",0
Ecuador,"Confirmed ",1,"January, 2016",2
Ecuador,Suspected,2,"January, 2016",0
Ecuador,"Confirmed ",2,"January, 2016",5
Ecuador,Suspected,3,"January, 2016",0
Ecuador,"Confirmed ",3,"January, 2016",6
Ecuador,Suspected,4,"January, 2016",0
Ecuador,"Confirmed ",4,"January, 2016",12
El Salvador,Suspected,1,"January, 2016",492
El Salvador,"Confirmed ",1,"January, 2016",0
El Salvador,Suspected,2,"January, 2016","1,069"
El Salvador,"Confirmed ",2,"January, 2016",0
El Salvador,Suspected,3,"January, 2016",913
El Salvador,"Confirmed ",3,"January, 2016",0
El Salvador,Suspected,4,"January, 2016",828
El Salvador,"Confirmed ",4,"January, 2016",0
French Guiana,Suspected,1,"January, 2016",0
French Guiana,"Confirmed ",1,"January, 2016",7
French Guiana,Suspected,2,"January, 2016",130
French Guiana,"Confirmed ",2,"January, 2016",39
French Guiana,Suspected,3,"January, 2016",115
French Guiana,"Confirmed ",3,"January, 2016",29
French Guiana,Suspected,4,"January, 2016",185
French Guiana,"Confirmed ",4,"January, 2016",13
Guadeloupe,Suspected,1,"January, 2016",0
Guadeloupe,"Confirmed ",1,"January, 2016",0
Guadeloupe,Suspected,2,"January, 2016",0
Guadeloupe,"Confirmed ",2,"January, 2016",1
Guadeloupe,Suspected,3,"January, 2016",0
Guadeloupe,"Confirmed ",3,"January, 2016",9
Guadeloupe,Suspected,4,"January, 2016",0
Guadeloupe,"Confirmed ",4,"January, 2016",7
Guatemala,Suspected,1,"January, 2016",0
Guatemala,"Confirmed ",1,"January, 2016",0
Guatemala,Suspected,2,"January, 2016",78
Guatemala,"Confirmed ",2,"January, 2016",37
Guatemala,Suspected,3,"January, 2016",0
Guatemala,"Confirmed ",3,"January, 2016",0
Guatemala,Suspected,4,"January, 2016",0
Guatemala,"Confirmed ",4,"January, 2016",0
Guyana,Suspected,1,"January, 2016",0
Guyana,"Confirmed ",1,"January, 2016",0
Guyana,Suspected,2,"January, 2016",0
Guyana,"Confirmed ",2,"January, 2016",1
Guyana,Suspected,3,"January, 2016",0
Guyana,"Confirmed ",3,"January, 2016",0
Guyana,Suspected,4,"January, 2016",0
Guyana,"Confirmed ",4,"January, 2016",0
Haiti,Suspected,1,"January, 2016",13
Haiti,"Confirmed ",1,"January, 2016",5
Haiti,Suspected,2,"January, 2016",4
Haiti,"Confirmed ",2,"January, 2016",0
Haiti,Suspected,3,"January, 2016",96
Haiti,"Confirmed ",3,"January, 2016",0
Haiti,Suspected,4,"January, 2016",204
Haiti,"Confirmed ",4,"January, 2016",0
Honduras,Suspected,1,"January, 2016",608
Honduras,"Confirmed ",1,"January, 2016",0
Honduras,Suspected,2,"January, 2016","1,119"
Honduras,"Confirmed ",2,"January, 2016",0
Honduras,Suspected,3,"January, 2016","1,310"
Honduras,"Confirmed ",3,"January, 2016",0
Honduras,Suspected,4,"January, 2016","1,436"
Honduras,"Confirmed ",4,"January, 2016",0
Jamaica,Suspected,1,"January, 2016",0
Jamaica,"Confirmed ",1,"January, 2016",0
Jamaica,Suspected,2,"January, 2016",0
Jamaica,"Confirmed ",2,"January, 2016",0
Jamaica,Suspected,3,"January, 2016",0
Jamaica,"Confirmed ",3,"January, 2016",0
Jamaica,Suspected,4,"January, 2016",0
Jamaica,"Confirmed ",4,"January, 2016",1
Martinique,Suspected,1,"January, 2016",0
Martinique,"Confirmed ",1,"January, 2016",12
Martinique,Suspected,2,"January, 2016","1,231"
Martinique,"Confirmed ",2,"January, 2016",0
Martinique,Suspected,3,"January, 2016","1,064"
Martinique,"Confirmed ",3,"January, 2016",0
Martinique,Suspected,4,"January, 2016","1,645"
Martinique,"Confirmed ",4,"January, 2016",0
Mexico,Suspected,1,"January, 2016",0
Mexico,"Confirmed ",1,"January, 2016",0
Mexico,Suspected,2,"January, 2016",0
Mexico,"Confirmed ",2,"January, 2016",3
Mexico,Suspected,3,"January, 2016",0
Mexico,"Confirmed ",3,"January, 2016",16
Mexico,Suspected,4,"January, 2016",0
Mexico,"Confirmed ",4,"January, 2016",31
Nicaragua,Suspected,1,"January, 2016",0
Nicaragua,"Confirmed ",1,"January, 2016",0
Nicaragua,Suspected,2,"January, 2016",0
Nicaragua,"Confirmed ",2,"January, 2016",0
Nicaragua,Suspected,3,"January, 2016",0
Nicaragua,"Confirmed ",3,"January, 2016",0
Nicaragua,Suspected,4,"January, 2016",0
Nicaragua,"Confirmed ",4,"January, 2016",2
Panama,Suspected,1,"January, 2016",0
Panama,"Confirmed ",1,"January, 2016",4
Panama,Suspected,2,"January, 2016",0
Panama,"Confirmed ",2,"January, 2016",3
Panama,Suspected,3,"January, 2016",0
Panama,"Confirmed ",3,"January, 2016",4
Panama,Suspected,4,"January, 2016",0
Panama,"Confirmed ",4,"January, 2016",4
Paraguay,Suspected,1,"January, 2016",0
Paraguay,"Confirmed ",1,"January, 2016",0
Paraguay,Suspected,2,"January, 2016",0
Paraguay,"Confirmed ",2,"January, 2016",0
Paraguay,Suspected,3,"January, 2016",0
Paraguay,"Confirmed ",3,"January, 2016",0
Paraguay,Suspected,4,"January, 2016",0
Paraguay,"Confirmed ",4,"January, 2016",0
Puerto Rico,Suspected,1,"January, 2016",0
Puerto Rico,"Confirmed ",1,"January, 2016",4
Puerto Rico,Suspected,2,"January, 2016",0
Puerto Rico,"Confirmed ",2,"January, 2016",4
Puerto Rico,Suspected,3,"January, 2016",0
Puerto Rico,"Confirmed ",3,"January, 2016",4
Puerto Rico,Suspected,4,"January, 2016",0
Puerto Rico,"Confirmed ",4,"January, 2016",9
Saint Martin,Suspected,1,"January, 2016",0
Saint Martin,"Confirmed ",1,"January, 2016",0
Saint Martin,Suspected,2,"January, 2016",0
Saint Martin,"Confirmed ",2,"January, 2016",1
Saint Martin,Suspected,3,"January, 2016",0
Saint Martin,"Confirmed ",3,"January, 2016",0
Saint Martin,Suspected,4,"January, 2016",0
Saint Martin,"Confirmed ",4,"January, 2016",0
Saint Vincent and the Grenadines,Suspected,1,"January, 2016",0
Saint Vincent and the Grenadines,"Confirmed ",1,"January, 2016",0
Saint Vincent and the Grenadines,Suspected,2,"January, 2016",0
Saint Vincent and the Grenadines,"Confirmed ",2,"January, 2016",0
Saint Vincent and the Grenadines,Suspected,3,"January, 2016",0
Saint Vincent and the Grenadines,"Confirmed ",3,"January, 2016",0
Saint Vincent and the Grenadines,Suspected,4,"January, 2016",0
Saint Vincent and the Grenadines,"Confirmed ",4,"January, 2016",0
Sint Maarten,Suspected,1,"January, 2016",0
Sint Maarten,"Confirmed ",1,"January, 2016",0
Sint Maarten,Suspected,2,"January, 2016",0
Sint Maarten,"Confirmed ",2,"January, 2016",0
Sint Maarten,Suspected,3,"January, 2016",0
Sint Maarten,"Confirmed ",3,"January, 2016",0
Sint Maarten,Suspected,4,"January, 2016",0
Sint Maarten,"Confirmed ",4,"January, 2016",0
Suriname,Suspected,1,"January, 2016",71
Suriname,"Confirmed ",1,"January, 2016",0
Suriname,Suspected,2,"January, 2016",278
Suriname,"Confirmed ",2,"January, 2016",0
Suriname,Suspected,3,"January, 2016",422
Suriname,"Confirmed ",3,"January, 2016",0
Suriname,Suspected,4,"January, 2016",487
Suriname,"Confirmed ",4,"January, 2016",0
Trinidad and Tobago,Suspected,1,"January, 2016",0
Trinidad and Tobago,"Confirmed ",1,"January, 2016",0
Trinidad and Tobago,Suspected,2,"January, 2016",0
Trinidad and Tobago,"Confirmed ",2,"January, 2016",0
Trinidad and Tobago,Suspected,3,"January, 2016",0
Trinidad and Tobago,"Confirmed ",3,"January, 2016",0
Trinidad and Tobago,Suspected,4,"January, 2016",0
Trinidad and Tobago,"Confirmed ",4,"January, 2016",0
United States Virgin Islands,Suspected,1,"January, 2016",0
United States Virgin Islands,"Confirmed ",1,"January, 2016",0
United States Virgin Islands,Suspected,2,"January, 2016",0
United States Virgin Islands,"Confirmed ",2,"January, 2016",0
United States Virgin Islands,Suspected,3,"January, 2016",0
United States Virgin Islands,"Confirmed ",3,"January, 2016",1
United States Virgin Islands,Suspected,4,"January, 2016",0
United States Virgin Islands,"Confirmed ",4,"January, 2016",0
Venezuela,Suspected,1,"January, 2016",0
Venezuela,"Confirmed ",1,"January, 2016",0
Venezuela,Suspected,2,"January, 2016",0
Venezuela,"Confirmed ",2,"January, 2016",0
Venezuela,Suspected,3,"January, 2016",0
Venezuela,"Confirmed ",3,"January, 2016",0
Venezuela,Suspected,4,"January, 2016","4,693"
Venezuela,"Confirmed ",4,"January, 2016",0
Aruba,Suspected,5,"February, 2016",0
Aruba,"Confirmed ",5,"February, 2016",0
Aruba,Suspected,6,"February, 2016",0
Aruba,"Confirmed ",6,"February, 2016",0
Aruba,Suspected,7,"February, 2016",0
Aruba,"Confirmed ",7,"February, 2016",4
Barbados,Suspected,5,"February, 2016",0
Barbados,"Confirmed ",5,"February, 2016",0
Barbados,Suspected,6,"February, 2016",0
Barbados,"Confirmed ",6,"February, 2016",4
Barbados,Suspected,7,"February, 2016",0
Barbados,"Confirmed ",7,"February, 2016",0
Barbados,Suspected,8,"February, 2016",0
Barbados,"Confirmed ",8,"February, 2016",0
Bolivia,Suspected,5,"February, 2016",0
Bolivia,"Confirmed ",5,"February, 2016",0
Bonaire,Suspected,5,"February, 2016",0
Bonaire,"Confirmed ",5,"February, 2016",0
Bonaire,Suspected,6,"February, 2016",0
Bonaire,"Confirmed ",6,"February, 2016",0
Bonaire,Suspected,7,"February, 2016",0
Bonaire,"Confirmed ",7,"February, 2016",1
Brazil,Suspected,5,"February, 2016",0
Brazil,"Confirmed ",5,"February, 2016",0
Brazil,Suspected,6,"February, 2016","1,451"
Brazil,"Confirmed ",6,"February, 2016",526
Colombia,Suspected,5,"February, 2016","5,737"
Colombia,"Confirmed ",5,"February, 2016",173
Colombia,Suspected,6,"February, 2016","5,348"
Colombia,"Confirmed ",6,"February, 2016",108
Colombia,Suspected,7,"February, 2016","5,695"
Colombia,"Confirmed ",7,"February, 2016",0
Costa Rica,Suspected,5,"February, 2016",0
Costa Rica,"Confirmed ",5,"February, 2016",0
Costa Rica,Suspected,6,"February, 2016",0
Costa Rica,"Confirmed ",6,"February, 2016",0
Costa Rica,Suspected,7,"February, 2016",0
Costa Rica,"Confirmed ",7,"February, 2016",0
Costa Rica,Suspected,8,"February, 2016",0
Costa Rica,"Confirmed ",8,"February, 2016",2
Curacao,Suspected,5,"February, 2016",0
Curacao,"Confirmed ",5,"February, 2016",0
